window_start_utc,window_end_utc,device,packet_count,packet_rate,mean_inter_arrival_ms,std_inter_arrival_ms,min_inter_arrival_ms,max_inter_arrival_ms,duplicate_ratio,seq_increment_mean,seq_increment_std,unique_modes,dominant_mode,label
2026-05-15T14:24:14.603Z,2026-05-15T14:25:14.603Z,esp32_3,14,0.2333,4412.38,1074.77,1297.0,5763.0,0.0,1.0,0.0,1,NORMAL,NORMAL
2026-05-15T14:24:15.208Z,2026-05-15T14:25:15.208Z,esp32_1,5,0.0833,14988.0,844.48,14293.0,16433.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:24:22.535Z,2026-05-15T14:25:22.535Z,esp32_2,6,0.1,11615.2,2838.87,8248.0,16043.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:24:24.603Z,2026-05-15T14:25:24.603Z,esp32_3,13,0.2167,4719.75,652.47,4019.0,5775.0,0.0,1.0,0.0,1,NORMAL,NORMAL
2026-05-15T14:24:25.208Z,2026-05-15T14:25:25.208Z,esp32_1,4,0.0667,14506.33,151.17,14293.0,14625.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:24:32.535Z,2026-05-15T14:25:32.535Z,esp32_2,6,0.1,10590.2,1784.57,8248.0,13639.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:24:34.603Z,2026-05-15T14:25:34.603Z,esp32_3,13,0.2167,4744.33,668.21,4019.0,5775.0,0.0,1.0,0.0,1,NORMAL,NORMAL
2026-05-15T14:24:35.208Z,2026-05-15T14:25:35.208Z,esp32_1,4,0.0667,15059.33,631.29,14601.0,15952.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:24:42.535Z,2026-05-15T14:25:42.535Z,esp32_2,6,0.1,10620.0,1785.28,8248.0,13639.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:24:44.603Z,2026-05-15T14:25:44.603Z,esp32_3,12,0.2,4935.09,666.7,4019.0,5775.0,0.0,1.0,0.0,1,NORMAL,NORMAL
2026-05-15T14:24:45.208Z,2026-05-15T14:25:45.208Z,esp32_1,5,0.0833,12788.25,3971.44,5975.0,15952.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:24:52.535Z,2026-05-15T14:25:52.535Z,esp32_2,5,0.0833,9865.25,1065.74,8248.0,10918.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:24:54.603Z,2026-05-15T14:25:54.603Z,esp32_3,12,0.2,5096.64,684.57,4019.0,5980.0,0.0,1.0,0.0,1,NORMAL,NORMAL
2026-05-15T14:24:55.208Z,2026-05-15T14:25:55.208Z,esp32_1,5,0.0833,12140.5,3831.8,5975.0,15952.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:25:02.535Z,2026-05-15T14:26:02.535Z,esp32_2,7,0.1167,9498.17,1989.25,5799.0,11729.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:25:04.603Z,2026-05-15T14:26:04.603Z,esp32_3,32,0.5333,1824.58,2294.56,48.0,5980.0,0.0,1.0645,0.2457,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:25:05.208Z,2026-05-15T14:26:05.208Z,esp32_1,5,0.0833,11861.25,3678.18,5975.0,15952.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:25:12.535Z,2026-05-15T14:26:12.535Z,esp32_2,6,0.1,9740.4,2091.99,5799.0,11729.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:25:14.603Z,2026-05-15T14:26:14.603Z,esp32_3,68,1.1333,855.13,1622.49,48.0,5980.0,0.0,1.0448,0.2068,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:25:15.208Z,2026-05-15T14:26:15.208Z,esp32_1,4,0.0667,10497.67,3255.96,5975.0,13508.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:25:22.535Z,2026-05-15T14:26:22.535Z,esp32_2,6,0.1,9654.0,2050.07,5799.0,11729.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:25:24.603Z,2026-05-15T14:26:24.603Z,esp32_3,92,1.5333,573.74,1231.39,2.0,5980.0,0.0,1.033,0.1786,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:25:25.208Z,2026-05-15T14:26:25.208Z,esp32_1,4,0.0667,10497.67,3255.96,5975.0,13508.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:25:32.535Z,2026-05-15T14:26:32.535Z,esp32_2,6,0.1,9750.8,2108.8,5799.0,11729.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:25:34.603Z,2026-05-15T14:26:34.603Z,esp32_3,92,1.5333,576.76,1240.26,2.0,5980.0,0.0,1.033,0.1786,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:25:35.208Z,2026-05-15T14:26:35.208Z,esp32_1,5,0.0833,14193.75,5354.87,8371.0,22886.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:25:42.535Z,2026-05-15T14:26:42.535Z,esp32_2,6,0.1,9623.4,2001.97,5799.0,11206.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:25:44.603Z,2026-05-15T14:26:44.603Z,esp32_3,92,1.5333,557.91,1171.34,2.0,5980.0,0.0,1.033,0.1786,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:25:45.208Z,2026-05-15T14:26:45.208Z,esp32_1,5,0.0833,13056.5,6125.49,7461.0,22886.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:25:52.535Z,2026-05-15T14:26:52.535Z,esp32_2,6,0.1,9623.4,2001.97,5799.0,11206.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:25:54.603Z,2026-05-15T14:26:54.603Z,esp32_3,92,1.5333,569.32,1213.66,2.0,5812.0,0.0,1.033,0.1786,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:25:55.208Z,2026-05-15T14:26:55.208Z,esp32_1,5,0.0833,11371.25,6672.33,6767.0,22886.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:02.535Z,2026-05-15T14:27:02.535Z,esp32_2,6,0.1,10227.4,1761.0,6776.0,11577.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:04.603Z,2026-05-15T14:27:04.603Z,esp32_3,72,1.2,776.97,1503.24,2.0,5812.0,0.0,1.0141,0.1178,2,DOS_FLOOD,DOS_FLOOD
