timestamp_utc,topic,device,mode,seq,temp,humidity,light,inter_arrival_ms,label
2026-05-15T14:24:14.603Z,netguard/attacker,esp32_3,NORMAL,2,-1,-1,-1,-1,NORMAL
2026-05-15T14:24:15.208Z,netguard/device1,esp32_1,LEGITIMATE,-1,26.18,48.6,-1,-1,LEGITIMATE
2026-05-15T14:24:15.900Z,netguard/attacker,esp32_3,NORMAL,3,-1,-1,-1,1297,NORMAL
2026-05-15T14:24:20.745Z,netguard/attacker,esp32_3,NORMAL,4,-1,-1,-1,4845,NORMAL
2026-05-15T14:24:22.535Z,netguard/device2,esp32_2,LEGITIMATE,-1,-1,-1,61,-1,LEGITIMATE
2026-05-15T14:24:26.370Z,netguard/attacker,esp32_3,NORMAL,5,-1,-1,-1,5624,NORMAL
2026-05-15T14:24:31.316Z,netguard/attacker,esp32_3,NORMAL,6,-1,-1,-1,4946,NORMAL
2026-05-15T14:24:31.641Z,netguard/device1,esp32_1,LEGITIMATE,-1,25.92,48.7,-1,16432,LEGITIMATE
2026-05-15T14:24:35.512Z,netguard/attacker,esp32_3,NORMAL,7,-1,-1,-1,4195,NORMAL
2026-05-15T14:24:38.578Z,netguard/device2,esp32_2,LEGITIMATE,-1,-1,-1,79,16043,LEGITIMATE
2026-05-15T14:24:39.741Z,netguard/attacker,esp32_3,NORMAL,8,-1,-1,-1,4228,NORMAL
2026-05-15T14:24:44.093Z,netguard/attacker,esp32_3,NORMAL,9,-1,-1,-1,4352,NORMAL
2026-05-15T14:24:45.934Z,netguard/device1,esp32_1,LEGITIMATE,-1,24.76,49.8,-1,14292,LEGITIMATE
2026-05-15T14:24:48.433Z,netguard/attacker,esp32_3,NORMAL,10,-1,-1,-1,4339,NORMAL
2026-05-15T14:24:49.151Z,netguard/device2,esp32_2,LEGITIMATE,-1,-1,-1,79,10572,LEGITIMATE
2026-05-15T14:24:54.196Z,netguard/attacker,esp32_3,NORMAL,11,-1,-1,-1,5763,NORMAL
2026-05-15T14:24:58.398Z,netguard/attacker,esp32_3,NORMAL,12,-1,-1,-1,4201,NORMAL
2026-05-15T14:25:00.535Z,netguard/device1,esp32_1,LEGITIMATE,-1,24.9,50.2,-1,14601,LEGITIMATE
2026-05-15T14:25:02.790Z,netguard/device2,esp32_2,LEGITIMATE,-1,-1,-1,93,13638,LEGITIMATE
2026-05-15T14:25:03.877Z,netguard/attacker,esp32_3,NORMAL,13,-1,-1,-1,5479,NORMAL
2026-05-15T14:25:07.945Z,netguard/attacker,esp32_3,NORMAL,14,-1,-1,-1,4068,NORMAL
2026-05-15T14:25:11.038Z,netguard/device2,esp32_2,LEGITIMATE,-1,-1,-1,50,8248,LEGITIMATE
2026-05-15T14:25:11.964Z,netguard/attacker,esp32_3,NORMAL,15,-1,-1,-1,4019,NORMAL
2026-05-15T14:25:15.160Z,netguard/device1,esp32_1,LEGITIMATE,-1,25.14,50.2,-1,14624,LEGITIMATE
2026-05-15T14:25:17.232Z,netguard/attacker,esp32_3,NORMAL,16,-1,-1,-1,5267,NORMAL
2026-05-15T14:25:20.611Z,netguard/device2,esp32_2,LEGITIMATE,-1,-1,-1,50,9572,LEGITIMATE
2026-05-15T14:25:23.007Z,netguard/attacker,esp32_3,NORMAL,17,-1,-1,-1,5775,NORMAL
2026-05-15T14:25:28.265Z,netguard/attacker,esp32_3,NORMAL,18,-1,-1,-1,5257,NORMAL
2026-05-15T14:25:31.112Z,netguard/device1,esp32_1,LEGITIMATE,-1,24.38,50.7,-1,15952,LEGITIMATE
2026-05-15T14:25:31.529Z,netguard/device2,esp32_2,LEGITIMATE,-1,-1,-1,77,10917,LEGITIMATE
2026-05-15T14:25:32.444Z,netguard/attacker,esp32_3,NORMAL,19,-1,-1,-1,4178,NORMAL
2026-05-15T14:25:37.087Z,netguard/device1,esp32_1,LEGITIMATE,-1,23.82,52.0,-1,5975,LEGITIMATE
2026-05-15T14:25:37.261Z,netguard/attacker,esp32_3,NORMAL,20,-1,-1,-1,4816,NORMAL
2026-05-15T14:25:42.251Z,netguard/device2,esp32_2,LEGITIMATE,-1,-1,-1,52,10722,LEGITIMATE
2026-05-15T14:25:42.719Z,netguard/attacker,esp32_3,NORMAL,21,-1,-1,-1,5458,NORMAL
2026-05-15T14:25:48.481Z,netguard/attacker,esp32_3,NORMAL,22,-1,-1,-1,5761,NORMAL
2026-05-15T14:25:49.097Z,netguard/device1,esp32_1,LEGITIMATE,-1,24.16,51.8,-1,12009,LEGITIMATE
2026-05-15T14:25:53.980Z,netguard/device2,esp32_2,LEGITIMATE,-1,-1,-1,50,11729,LEGITIMATE
2026-05-15T14:25:54.461Z,netguard/attacker,esp32_3,NORMAL,23,-1,-1,-1,5979,NORMAL
2026-05-15T14:25:58.973Z,netguard/attacker,esp32_3,DOS_FLOOD,24,-1,-1,-1,4512,DOS_FLOOD
2026-05-15T14:25:59.170Z,netguard/attacker,esp32_3,DOS_FLOOD,25,-1,-1,-1,197,DOS_FLOOD
2026-05-15T14:25:59.480Z,netguard/attacker,esp32_3,DOS_FLOOD,26,-1,-1,-1,309,DOS_FLOOD
2026-05-15T14:25:59.678Z,netguard/attacker,esp32_3,DOS_FLOOD,27,-1,-1,-1,197,DOS_FLOOD
2026-05-15T14:25:59.779Z,netguard/device2,esp32_2,LEGITIMATE,-1,-1,-1,50,5798,LEGITIMATE
2026-05-15T14:26:00.247Z,netguard/attacker,esp32_3,DOS_FLOOD,29,-1,-1,-1,568,DOS_FLOOD
2026-05-15T14:26:00.595Z,netguard/attacker,esp32_3,DOS_FLOOD,30,-1,-1,-1,348,DOS_FLOOD
2026-05-15T14:26:00.917Z,netguard/attacker,esp32_3,DOS_FLOOD,31,-1,-1,-1,321,DOS_FLOOD
2026-05-15T14:26:01.113Z,netguard/attacker,esp32_3,DOS_FLOOD,32,-1,-1,-1,195,DOS_FLOOD
2026-05-15T14:26:01.391Z,netguard/attacker,esp32_3,DOS_FLOOD,33,-1,-1,-1,277,DOS_FLOOD
2026-05-15T14:26:01.585Z,netguard/attacker,esp32_3,DOS_FLOOD,34,-1,-1,-1,194,DOS_FLOOD
2026-05-15T14:26:01.782Z,netguard/attacker,esp32_3,DOS_FLOOD,35,-1,-1,-1,196,DOS_FLOOD
2026-05-15T14:26:01.978Z,netguard/attacker,esp32_3,DOS_FLOOD,36,-1,-1,-1,195,DOS_FLOOD
2026-05-15T14:26:02.190Z,netguard/attacker,esp32_3,DOS_FLOOD,37,-1,-1,-1,211,DOS_FLOOD
2026-05-15T14:26:02.394Z,netguard/attacker,esp32_3,DOS_FLOOD,38,-1,-1,-1,204,DOS_FLOOD
2026-05-15T14:26:02.605Z,netguard/device1,esp32_1,LEGITIMATE,-1,24.01,52.6,-1,13507,LEGITIMATE
2026-05-15T14:26:02.904Z,netguard/attacker,esp32_3,DOS_FLOOD,39,-1,-1,-1,509,DOS_FLOOD
2026-05-15T14:26:02.952Z,netguard/attacker,esp32_3,DOS_FLOOD,40,-1,-1,-1,48,DOS_FLOOD
2026-05-15T14:26:03.148Z,netguard/attacker,esp32_3,DOS_FLOOD,41,-1,-1,-1,195,DOS_FLOOD
2026-05-15T14:26:03.420Z,netguard/attacker,esp32_3,DOS_FLOOD,42,-1,-1,-1,271,DOS_FLOOD
